masked_positions	masked_percentage	log_file
35196	8.8	scaffold9-130_out.log
35286	8.8	scaffold40-373_out.log
34628	8.7	scaffold7-104_out.log
34758	8.7	scaffold6-94_out.log
34811	8.7	scaffold3-45_out.log
7888	8.7	scaffold101-556_out.log
22870	8.6	scaffold86-530_out.log
34229	8.6	scaffold48-419_out.log
34285	8.6	scaffold9-132_out.log
34319	8.6	scaffold19-220_out.log
34361	8.6	scaffold35-342_out.log
34419	8.6	scaffold42-387_out.log
34425	8.6	scaffold5-79_out.log
16048	8.5	scaffold69-487_out.log
33832	8.5	scaffold41-380_out.log
33886	8.5	scaffold47-411_out.log
33954	8.5	scaffold37-354_out.log
33965	8.5	scaffold52-431_out.log
33983	8.5	scaffold93-539_out.log
34133	8.5	scaffold1-12_out.log
3698	8.5	scaffold199-616_out.log
33425	8.4	scaffold76-504_out.log
33548	8.4	scaffold79-513_out.log
33666	8.4	scaffold9-129_out.log
33031	8.3	scaffold12-156_out.log
33038	8.3	scaffold89-531_out.log
33113	8.3	scaffold5-81_out.log
33283	8.3	scaffold6-98_out.log
33332	8.3	scaffold39-368_out.log
10519	8.2	scaffold47-415_out.log
32660	8.2	scaffold3-48_out.log
32671	8.2	scaffold50-427_out.log
32726	8.2	scaffold9-131_out.log
32807	8.2	scaffold53-435_out.log
32816	8.2	scaffold42-384_out.log
32870	8.2	scaffold39-369_out.log
32992	8.2	scaffold11-145_out.log
26595	8.1	scaffold44-400_out.log
32208	8.1	scaffold60-461_out.log
32210	8.1	scaffold3-41_out.log
32217	8.1	scaffold17-205_out.log
32328	8.1	scaffold5-83_out.log
32341	8.1	scaffold50-428_out.log
32374	8.1	scaffold35-340_out.log
32458	8.1	scaffold45-402_out.log
32483	8.1	scaffold85-527_out.log
32573	8.1	scaffold15-189_out.log
9068	8.1	scaffold164-597_out.log
31960	8.0	scaffold1-20_out.log
32051	8.0	scaffold33-327_out.log
32075	8.0	scaffold47-414_out.log
32120	8.0	scaffold50-426_out.log
7402	8.0	scaffold76-505_out.log
23999	7.9	scaffold45-405_out.log
31693	7.9	scaffold38-360_out.log
31714	7.9	scaffold34-333_out.log
31723	7.9	scaffold10-143_out.log
6582	7.9	scaffold27-294_out.log
11794	7.8	scaffold72-493_out.log
31052	7.8	scaffold33-329_out.log
31150	7.8	scaffold75-501_out.log
31212	7.8	scaffold20-236_out.log
31268	7.8	scaffold72-492_out.log
31310	7.8	scaffold68-483_out.log
31343	7.8	scaffold1-7_out.log
31350	7.8	scaffold42-386_out.log
30650	7.7	scaffold13-173_out.log
30744	7.7	scaffold38-361_out.log
30805	7.7	scaffold17-204_out.log
30857	7.7	scaffold35-339_out.log
30915	7.7	scaffold7-103_out.log
30942	7.7	scaffold57-448_out.log
30945	7.7	scaffold45-403_out.log
30206	7.6	scaffold41-379_out.log
30232	7.6	scaffold3-56_out.log
30240	7.6	scaffold20-231_out.log
30324	7.6	scaffold4-60_out.log
30376	7.6	scaffold24-263_out.log
30407	7.6	scaffold29-306_out.log
30480	7.6	scaffold25-271_out.log
30537	7.6	scaffold5-77_out.log
30566	7.6	scaffold27-288_out.log
30582	7.6	scaffold6-87_out.log
30592	7.6	scaffold15-185_out.log
28377	7.5	scaffold22-254_out.log
29832	7.5	scaffold21-245_out.log
29971	7.5	scaffold73-495_out.log
30008	7.5	scaffold56-445_out.log
3003	7.5	scaffold20-237_out.log
30071	7.5	scaffold61-463_out.log
29480	7.4	scaffold79-512_out.log
29513	7.4	scaffold40-372_out.log
29561	7.4	scaffold57-447_out.log
29573	7.4	scaffold23-256_out.log
29709	7.4	scaffold78-510_out.log
29774	7.4	scaffold29-307_out.log
28674	7.2	scaffold20-230_out.log
28699	7.2	scaffold20-234_out.log
28708	7.2	scaffold2-37_out.log
28763	7.2	scaffold7-107_out.log
28943	7.2	scaffold29-304_out.log
28973	7.2	scaffold11-151_out.log
28223	7.1	scaffold17-207_out.log
28223	7.1	scaffold27-293_out.log
27828	7.0	scaffold43-391_out.log
27848	7.0	scaffold7-105_out.log
27912	7.0	scaffold17-203_out.log
28009	7.0	scaffold3-44_out.log
28184	7.0	scaffold64-476_out.log
28185	7.0	scaffold29-308_out.log
27403	6.9	scaffold27-287_out.log
27431	6.9	scaffold3-52_out.log
27432	6.9	scaffold7-110_out.log
27498	6.9	scaffold18-216_out.log
27572	6.9	scaffold5-78_out.log
